work|profession|profession (PEOPLE)|B2|noun|the people who do a type of work considered as a group| The medical profession has expressed concern about the new drug. |One day, [when] I had an exam, the examiner asked me questions about the legal profession. (First Certificate in English; B2; French)|https://www.englishprofile.org/evp/audio/UKPROD_022.mp3|https://www.englishprofile.org/british-english/words/detail/4503|/prəˈfeʃ.ən/
people: actions|wrap|wrap (COVER)|B1|verb|to cover or surround something with paper, cloth or other material|She wrapped the present and tied it with ribbon.^Wrap the chicken in foil and cook it for two hours.||https://www.englishprofile.org/evp/audio/UKRAMSH028.mp3|https://www.englishprofile.org/british-english/words/detail/6738|/ræp/
describing things|in|in (INTO A SPACE)|A2|adverb|into an area or space from the outside of it|Could you bring the clothes in for me?^Cut the pastry into a square and turn in the corners.|First I brought in the big cake that my father had [bought]. (Key English Test; A2; Farsi)|https://www.englishprofile.org/evp/audio/UKIMPRO019.mp3|https://www.englishprofile.org/british-english/words/detail/2916|/ɪn/
body and health|all right|all right (WELL)|A2|adjective|not hurt or ill|Harry's just slipped on the ice. "Oh dear! Is he all right?"^She was very ill for a while but she's all right now.|Hi Jo How are you? I hope you are all right. (Key English Test; A2; Arabic)|https://www.englishprofile.org/evp/audio/UKALLEV020.mp3|https://www.englishprofile.org/british-english/words/detail/175|/ɔːlˈraɪt/
other|conceive|conceive (IDEA)|C2|verb|to think of an idea or plan|The original idea for the novel was conceived in Rome.|I wonder what kind of person conceived this terrible and ignorant idea. (Certificate of Proficiency in English; C2; Greek)|https://www.englishprofile.org/evp/audio/UKCONCE002.mp3|https://www.englishprofile.org/british-english/words/detail/1094|/kənˈsiːv/
describing things|bottom|bottom (LOWEST PART)|A1|noun|the lowest part of something|He stood at the bottom of the stairs and called up to me.^Extra information can be found at the bottom of the page.|One of the most amazing places we visited was a small lake at the bottom of a huge mountain. (Preliminary English Test; B1; Spanish)|https://www.englishprofile.org/evp/audio/UKBOTHE007.mp3|https://www.englishprofile.org/british-english/words/detail/616|/ˈbɒt.əm/
arts and media|compose|compose (MUSIC)|B2|verb|to write a piece of music| Who composed the music for the film?|I've been composing music on a computer for over five years and I have a lot of knowledge when it comes to hardware. (First Certificate in English; B2; Dutch)|https://www.englishprofile.org/evp/audio/UKCOMPL008.mp3|https://www.englishprofile.org/british-english/words/detail/1081|/kəmˈpəʊz/
relationships|close|close (FRIENDLY)|A2|adjective|describes people who know each other very well and like each other a lot, or who see and talk to each other a lot|Mira is one of my closest friends.^Her relationship isn't good with her father, but she's very close to her mother.^My brother and I have become much closer over the years.|That night, we had just my family and some of my close friends. (Key English Test; A2; Thai)|https://www.englishprofile.org/evp/audio/UKCLIPP024.mp3|https://www.englishprofile.org/british-english/words/detail/966|/kləʊs/
arts and media|promotion|promotion (ADVERTISEMENT)|B2|noun|activities to advertise something|a sales promotion^ They're giving away free T-shirts as a special promotion. ^Obviously as sales manager he'll be very involved in the promotion and marketing of the product.|There are different kinds of jobs people do during the festival, e.g. some organisational work, doing promotion for the different events or sell[ing] tickets for the concerts. (First Certificate in English; B2; Hungarian)|https://www.englishprofile.org/evp/audio/UKPROMI014.mp3|https://www.englishprofile.org/british-english/words/detail/4527|/prəˈməʊ.ʃən/
people: actions|watch|watch (LOOK AT)|A1|verb|to look at something for a period of time|I had dinner and watched TV for a couple of hours.^I watched him get into a taxi.^I got the feeling I was being watched.^I sit by the window and watch people walking past.|She works at the Glade and she watches television at night. (Skills for Life (Entry 1); A1; Russian)|https://www.englishprofile.org/evp/audio/UKWASPI014.mp3|https://www.englishprofile.org/british-english/words/detail/6571|/wɒtʃ/
people: actions|unload|unload (REMOVE)|C2|verb|to remove things from a vehicle|Can you help me unload the car?|We began to unload the car and showed the children around the house. (Certificate of Proficiency in English; C2; Spanish)|https://www.englishprofile.org/evp/audio/UKUNJUS020.mp3|https://www.englishprofile.org/british-english/words/detail/6345|/ʌnˈləʊd/
